"condition","alpha","choice","mean","lower","upper"
"area",0,"Nash",0.581627126703386,0.432659227677139,0.718442457406852
"area",0,"IE",0.294096882460651,0.193827382427338,0.409227385893926
"area",0.01,"Nash",0.581907293622889,0.434107160216587,0.718284208896703
"area",0.01,"IE",0.293085018864469,0.19324184063269,0.408294991995699
"area",0.02,"Nash",0.582181059775202,0.434029634830366,0.717527724910799
"area",0.02,"IE",0.292075159939188,0.19300515397053,0.407400929424838
"area",0.03,"Nash",0.58245227211852,0.434619989558158,0.716433366296552
"area",0.03,"IE",0.291062715047688,0.192322355638258,0.407086990282328
"area",0.04,"Nash",0.582724985254999,0.435173665797027,0.715194732404077
"area",0.04,"IE",0.290042864864993,0.19126574489453,0.405535813057344
"area",0.05,"Nash",0.583003429662685,0.435498095977574,0.714947512622677
"area",0.05,"IE",0.289010595117058,0.191642624783333,0.40496989636496
"area",0.06,"Nash",0.583291967081788,0.436626757506357,0.71474214789885
"area",0.06,"IE",0.287960744550277,0.190723285043205,0.404423895681234
"area",0.07,"Nash",0.583595033233452,0.436386636974653,0.71464120298638
"area",0.07,"IE",0.286888067017639,0.189908923404406,0.402340045686628
"area",0.08,"Nash",0.583917067971373,0.436804546188598,0.714935033339689
"area",0.08,"IE",0.285787307658226,0.189447332989955,0.400569589606313
"area",0.09,"Nash",0.584262432822668,0.436809158724912,0.715795971785948
"area",0.09,"IE",0.28465329331572,0.188536384836362,0.398910527188966
"area",0.1,"Nash",0.584635315676614,0.436861976847624,0.716290787172917
"area",0.1,"IE",0.283481037574553,0.187681983272257,0.397193272345469
"area",0.11,"Nash",0.585038977154081,0.438087673698838,0.716840958165818
"area",0.11,"IE",0.282266654255917,0.186878088519573,0.39540513284194
"area",0.12,"Nash",0.585473792118368,0.439366017770749,0.716571394923863
"area",0.12,"IE",0.281009766593719,0.186699855855283,0.393468093316559
"area",0.13,"Nash",0.585939351683969,0.440566543493702,0.717037042339548
"area",0.13,"IE",0.279710948702255,0.185946084649443,0.391892592746834
"area",0.14,"Nash",0.58643524675455,0.440619350764216,0.717298543022083
"area",0.14,"IE",0.278370780037716,0.185029815450978,0.390636310935971
"area",0.15,"Nash",0.58696116279093,0.441445392105181,0.717158667298548
"area",0.15,"IE",0.276989740253919,0.184077312419198,0.387842048899271
"area",0.16,"Nash",0.587516940074138,0.442501433145332,0.717204582408149
"area",0.16,"IE",0.275568141933079,0.182579933367572,0.386660051211128
"area",0.17,"Nash",0.588102598955873,0.444167802027495,0.717618994968179
"area",0.17,"IE",0.274106101983717,0.181668457262324,0.384975431181968
"area",0.18,"Nash",0.588718329516394,0.444973432964342,0.718871505447474
"area",0.18,"IE",0.272603552603033,0.181094775572238,0.382210224532516
"area",0.19,"Nash",0.589364445020951,0.445937548420214,0.719403273339864
"area",0.19,"IE",0.271060292758477,0.179384860832047,0.380246322292867
"area",0.2,"Nash",0.590041298526762,0.446360041818922,0.720303059418455
"area",0.2,"IE",0.269476081215728,0.177921326420031,0.378805772355595
"area",0.21,"Nash",0.590749136534278,0.44740924024106,0.720930166507161
"area",0.21,"IE",0.267850900629545,0.176413373233611,0.377059530154317
"area",0.22,"Nash",0.591487921070673,0.4480153291191,0.721171524907308
"area",0.22,"IE",0.266185465007239,0.175719410198279,0.3736545225767
"area",0.23,"Nash",0.59225746505126,0.449241981743605,0.721687325484705
"area",0.23,"IE",0.264480782223452,0.174325676343271,0.37225916122562
"area",0.24,"Nash",0.593057571505222,0.450108719814372,0.722009696044576
"area",0.24,"IE",0.262737900238527,0.172871484341201,0.369280767153015
"area",0.25,"Nash",0.593888121666274,0.450802920139243,0.723609441801478
"area",0.25,"IE",0.260957807754249,0.171433635878359,0.366358711529967
"area",0.26,"Nash",0.594749134231496,0.451477055076246,0.72418847644778
"area",0.26,"IE",0.259141366425376,0.170023265570919,0.364123918461304
"area",0.27,"Nash",0.595640795278689,0.452475942074031,0.725057745627258
"area",0.27,"IE",0.257289275459986,0.168910568141639,0.361936538978004
"area",0.28,"Nash",0.596563458257466,0.453329330366823,0.726155838338293
"area",0.28,"IE",0.255402069555055,0.16752419217006,0.359957971971233
"area",0.29,"Nash",0.597517613422123,0.454408613214696,0.727372027389879
"area",0.29,"IE",0.253480151176634,0.166120027631304,0.357465180683973
"area",0.3,"Nash",0.598503826034933,0.4558257188852,0.728036045167125
"area",0.3,"IE",0.251523858229204,0.164586436043621,0.354195790328
"area",0.31,"Nash",0.599521042602697,0.457731255587623,0.729712417733706
"area",0.31,"IE",0.249535628959761,0.163100495985808,0.351105438934418
"area",0.32,"Nash",0.600561783798688,0.458684751829018,0.730973856948026
