scenario_hash,scenario_json,scenario_nbs,scenario_mec,question,response,text
8689312396141770918,W3sidXRpbGl0eSI6IDUxLjAsICJhZ2VudCI6ICJhcHBsZS3wn42OIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogNTEuMCwgImFnZW50IjogImJlZS3wn5CdIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogMS4wLCAiYWdlbnQiOiAiY293LfCfkK4iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogIm9uZSJ9LCB7InV0aWxpdHkiOiAxLjAsICJhZ2VudCI6ICJhcHBsZS3wn42OIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0d28ifSwgeyJ1dGlsaXR5IjogMS4wLCAiYWdlbnQiOiAiYmVlLfCfkJ0iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInR3byJ9LCB7InV0aWxpdHkiOiAxLjAsICJhZ2VudCI6ICJjb3ct8J+QriIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidHdvIn0sIHsidXRpbGl0eSI6IDEuMCwgImFnZW50IjogImFwcGxlLfCfjY4iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInRocmVlIn0sIHsidXRpbGl0eSI6IDEwMS4wLCAiYWdlbnQiOiAiYmVlLfCfkJ0iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInRocmVlIn0sIHsidXRpbGl0eSI6IDUxLjAsICJhZ2VudCI6ICJjb3ct8J+QriIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidGhyZWUifV0=,three,three,1,one,"(A) Proposal one
A"
-1238262903752976604,W3sidXRpbGl0eSI6IDEwMS4wLCAiYWdlbnQiOiAiYXBwbGUt8J+NjiIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAib25lIn0sIHsidXRpbGl0eSI6IDEuMCwgImFnZW50IjogImJlZS3wn5CdIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogMTAxLjAsICJhZ2VudCI6ICJjb3ct8J+QriIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAib25lIn0sIHsidXRpbGl0eSI6IDUxLjAsICJhZ2VudCI6ICJhcHBsZS3wn42OIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0d28ifSwgeyJ1dGlsaXR5IjogNTEuMCwgImFnZW50IjogImJlZS3wn5CdIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0d28ifSwgeyJ1dGlsaXR5IjogNTEuMCwgImFnZW50IjogImNvdy3wn5CuIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0d28ifSwgeyJ1dGlsaXR5IjogMS4wLCAiYWdlbnQiOiAiYXBwbGUt8J+NjiIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidGhyZWUifSwgeyJ1dGlsaXR5IjogMS4wLCAiYWdlbnQiOiAiYmVlLfCfkJ0iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInRocmVlIn0sIHsidXRpbGl0eSI6IDEuMCwgImFnZW50IjogImNvdy3wn5CuIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0aHJlZSJ9XQ==,two,one,1,two,"(B) Proposal two
B"
-8460113470138266069,W3sidXRpbGl0eSI6IDUxLjAsICJhZ2VudCI6ICJhcHBsZS3wn42OIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogNTEuMCwgImFnZW50IjogImJlZS3wn5CdIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogNTEuMCwgImFnZW50IjogImNvdy3wn5CuIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogMS4wLCAiYWdlbnQiOiAiYXBwbGUt8J+NjiIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidHdvIn0sIHsidXRpbGl0eSI6IDEwMS4wLCAiYWdlbnQiOiAiYmVlLfCfkJ0iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInR3byJ9LCB7InV0aWxpdHkiOiAxMDEuMCwgImFnZW50IjogImNvdy3wn5CuIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0d28ifSwgeyJ1dGlsaXR5IjogMTAxLjAsICJhZ2VudCI6ICJhcHBsZS3wn42OIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0aHJlZSJ9LCB7InV0aWxpdHkiOiAxLjAsICJhZ2VudCI6ICJiZWUt8J+QnSIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidGhyZWUifSwgeyJ1dGlsaXR5IjogMS4wLCAiYWdlbnQiOiAiY293LfCfkK4iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInRocmVlIn1d,one,two,1,one,"(A) Proposal one
A"
3022611651125459961,W3sidXRpbGl0eSI6IDEwMS4wLCAiYWdlbnQiOiAiYXBwbGUt8J+NjiIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAib25lIn0sIHsidXRpbGl0eSI6IDEwMS4wLCAiYWdlbnQiOiAiYmVlLfCfkJ0iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogIm9uZSJ9LCB7InV0aWxpdHkiOiAxLjAsICJhZ2VudCI6ICJjb3ct8J+QriIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAib25lIn0sIHsidXRpbGl0eSI6IDEuMCwgImFnZW50IjogImFwcGxlLfCfjY4iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInR3byJ9LCB7InV0aWxpdHkiOiAxLjAsICJhZ2VudCI6ICJiZWUt8J+QnSIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidHdvIn0sIHsidXRpbGl0eSI6IDEwMS4wLCAiYWdlbnQiOiAiY293LfCfkK4iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInR3byJ9LCB7InV0aWxpdHkiOiAxLjAsICJhZ2VudCI6ICJhcHBsZS3wn42OIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0aHJlZSJ9LCB7InV0aWxpdHkiOiA1MS4wLCAiYWdlbnQiOiAiYmVlLfCfkJ0iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInRocmVlIn0sIHsidXRpbGl0eSI6IDUxLjAsICJhZ2VudCI6ICJjb3ct8J+QriIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidGhyZWUifV0=,one,one,1,three,"(C) Proposal three
C"
6526610396583973237,W3sidXRpbGl0eSI6IDUxLjAsICJhZ2VudCI6ICJhcHBsZS3wn42OIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogNTEuMCwgImFnZW50IjogImJlZS3wn5CdIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogNTEuMCwgImFnZW50IjogImNvdy3wn5CuIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogMTAxLjAsICJhZ2VudCI6ICJhcHBsZS3wn42OIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0d28ifSwgeyJ1dGlsaXR5IjogMS4wLCAiYWdlbnQiOiAiYmVlLfCfkJ0iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInR3byJ9LCB7InV0aWxpdHkiOiAxMDEuMCwgImFnZW50IjogImNvdy3wn5CuIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0d28ifSwgeyJ1dGlsaXR5IjogMS4wLCAiYWdlbnQiOiAiYXBwbGUt8J+NjiIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidGhyZWUifSwgeyJ1dGlsaXR5IjogMS4wLCAiYWdlbnQiOiAiYmVlLfCfkJ0iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInRocmVlIn0sIHsidXRpbGl0eSI6IDEuMCwgImFnZW50IjogImNvdy3wn5CuIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0aHJlZSJ9XQ==,one,two,1,one,"(A) Proposal one
A"
-7979864974133686208,W3sidXRpbGl0eSI6IDEwMS4wLCAiYWdlbnQiOiAiYXBwbGUt8J+NjiIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAib25lIn0sIHsidXRpbGl0eSI6IDEuMCwgImFnZW50IjogImJlZS3wn5CdIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogNTEuMCwgImFnZW50IjogImNvdy3wn5CuIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogNTEuMCwgImFnZW50IjogImFwcGxlLfCfjY4iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInR3byJ9LCB7InV0aWxpdHkiOiAxLjAsICJhZ2VudCI6ICJiZWUt8J+QnSIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidHdvIn0sIHsidXRpbGl0eSI6IDUxLjAsICJhZ2VudCI6ICJjb3ct8J+QriIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidHdvIn0sIHsidXRpbGl0eSI6IDEuMCwgImFnZW50IjogImFwcGxlLfCfjY4iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInRocmVlIn0sIHsidXRpbGl0eSI6IDUxLjAsICJhZ2VudCI6ICJiZWUt8J+QnSIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidGhyZWUifSwgeyJ1dGlsaXR5IjogMS4wLCAiYWdlbnQiOiAiY293LfCfkK4iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInRocmVlIn1d,one,one,1,two,"(B) Proposal two
B"
-5356903087950594880,W3sidXRpbGl0eSI6IDEuMCwgImFnZW50IjogImFwcGxlLfCfjY4iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogIm9uZSJ9LCB7InV0aWxpdHkiOiAxLjAsICJhZ2VudCI6ICJiZWUt8J+QnSIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAib25lIn0sIHsidXRpbGl0eSI6IDEuMCwgImFnZW50IjogImNvdy3wn5CuIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogMS4wLCAiYWdlbnQiOiAiYXBwbGUt8J+NjiIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidHdvIn0sIHsidXRpbGl0eSI6IDEuMCwgImFnZW50IjogImJlZS3wn5CdIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0d28ifSwgeyJ1dGlsaXR5IjogNTEuMCwgImFnZW50IjogImNvdy3wn5CuIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0d28ifSwgeyJ1dGlsaXR5IjogMTAxLjAsICJhZ2VudCI6ICJhcHBsZS3wn42OIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0aHJlZSJ9LCB7InV0aWxpdHkiOiAxLjAsICJhZ2VudCI6ICJiZWUt8J+QnSIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidGhyZWUifSwgeyJ1dGlsaXR5IjogMS4wLCAiYWdlbnQiOiAiY293LfCfkK4iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInRocmVlIn1d,three,three,1,one,"(A) Proposal one
A"
1922656622764680040,W3sidXRpbGl0eSI6IDUxLjAsICJhZ2VudCI6ICJhcHBsZS3wn42OIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogMS4wLCAiYWdlbnQiOiAiYmVlLfCfkJ0iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogIm9uZSJ9LCB7InV0aWxpdHkiOiAxLjAsICJhZ2VudCI6ICJjb3ct8J+QriIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAib25lIn0sIHsidXRpbGl0eSI6IDEuMCwgImFnZW50IjogImFwcGxlLfCfjY4iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInR3byJ9LCB7InV0aWxpdHkiOiAxMDEuMCwgImFnZW50IjogImJlZS3wn5CdIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0d28ifSwgeyJ1dGlsaXR5IjogMTAxLjAsICJhZ2VudCI6ICJjb3ct8J+QriIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidHdvIn0sIHsidXRpbGl0eSI6IDUxLjAsICJhZ2VudCI6ICJhcHBsZS3wn42OIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0aHJlZSJ9LCB7InV0aWxpdHkiOiA1MS4wLCAiYWdlbnQiOiAiYmVlLfCfkJ0iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInRocmVlIn0sIHsidXRpbGl0eSI6IDUxLjAsICJhZ2VudCI6ICJjb3ct8J+QriIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidGhyZWUifV0=,three,two,1,three,"(C) Proposal three
C"
1202231154697126289,W3sidXRpbGl0eSI6IDUxLjAsICJhZ2VudCI6ICJhcHBsZS3wn42OIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogNTEuMCwgImFnZW50IjogImJlZS3wn5CdIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogMTAxLjAsICJhZ2VudCI6ICJjb3ct8J+QriIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAib25lIn0sIHsidXRpbGl0eSI6IDEuMCwgImFnZW50IjogImFwcGxlLfCfjY4iLCAiY3JlZGVuY2UiOiAzMy4wLCAiYWN0aW9uIjogInR3byJ9LCB7InV0aWxpdHkiOiAxLjAsICJhZ2VudCI6ICJiZWUt8J+QnSIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidHdvIn0sIHsidXRpbGl0eSI6IDEuMCwgImFnZW50IjogImNvdy3wn5CuIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0d28ifSwgeyJ1dGlsaXR5IjogMTAxLjAsICJhZ2VudCI6ICJhcHBsZS3wn42OIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0aHJlZSJ9LCB7InV0aWxpdHkiOiAxLjAsICJhZ2VudCI6ICJiZWUt8J+QnSIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidGhyZWUifSwgeyJ1dGlsaXR5IjogNTEuMCwgImFnZW50IjogImNvdy3wn5CuIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0aHJlZSJ9XQ==,one,one,1,one,"(A) Proposal one
A"
-4201149771310487166,W3sidXRpbGl0eSI6IDUxLjAsICJhZ2VudCI6ICJhcHBsZS3wn42OIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogNTEuMCwgImFnZW50IjogImJlZS3wn5CdIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogNTEuMCwgImFnZW50IjogImNvdy3wn5CuIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJvbmUifSwgeyJ1dGlsaXR5IjogMS4wLCAiYWdlbnQiOiAiYXBwbGUt8J+NjiIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidHdvIn0sIHsidXRpbGl0eSI6IDUxLjAsICJhZ2VudCI6ICJiZWUt8J+QnSIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidHdvIn0sIHsidXRpbGl0eSI6IDEuMCwgImFnZW50IjogImNvdy3wn5CuIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0d28ifSwgeyJ1dGlsaXR5IjogMTAxLjAsICJhZ2VudCI6ICJhcHBsZS3wn42OIiwgImNyZWRlbmNlIjogMzMuMCwgImFjdGlvbiI6ICJ0aHJlZSJ9LCB7InV0aWxpdHkiOiAxLjAsICJhZ2VudCI6ICJiZWUt8J+QnSIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidGhyZWUifSwgeyJ1dGlsaXR5IjogMTAxLjAsICJhZ2VudCI6ICJjb3ct8J+QriIsICJjcmVkZW5jZSI6IDMzLjAsICJhY3Rpb24iOiAidGhyZWUifV0=,one,three,1,one,"(A) Proposal one
A"
