Title,Description,Keywords,Reward,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.feedback,Answer.q_question-3D-0,Answer.q_question-3D-1,Answer.q_question-3D-2,Answer.q_question-3D-3,Answer.q_question-3D-4,Answer.q_question-3D-5,Answer.q_question-3D-6,Answer.q_question-stacked-1,Answer.q_question-stacked-2,Answer.q_question-stacked-3,Answer.q_question-stacked-4,Answer.q_question-stacked-5,Answer.q_question-stacked-6,Answer.tm,Approve,Reject,UPDATE-moral-parliament-q
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3140,Submitted,Wed Aug 30 15:25:17 PDT 2023,Wed Aug 30 16:13:36 PDT 2023,Thu Aug 31 16:13:36 PDT 2023,,,,2899,100% (64/64),100% (1/1),0% (0/0),{},elephant,B,two,two,A,one,one,A,two,three,B,one,three,636.958,,,10
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3141,Submitted,Wed Aug 30 15:00:21 PDT 2023,Wed Aug 30 15:48:21 PDT 2023,Thu Aug 31 15:48:21 PDT 2023,,,,2880,100% (13/13),100% (1/1),0% (0/0),{},elephant,B,two,two,A,two,three,A,one,two,B,one,three,2419.506,,,10
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3142,Submitted,Wed Aug 30 14:59:58 PDT 2023,Wed Aug 30 15:31:07 PDT 2023,Thu Aug 31 15:31:07 PDT 2023,,,,1869,100% (3269/3269),100% (6/6),0% (0/0),{},elephant,B,one,two,A,one,one,A,one,two,B,one,three,492.065,,,13
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3143,Submitted,Wed Aug 30 15:00:31 PDT 2023,Wed Aug 30 15:16:45 PDT 2023,Thu Aug 31 15:16:45 PDT 2023,,,,974,100% (2/2),0% (0/0),0% (0/0),good qualification test,elephant,B,one,two,A,one,three,A,one,two,B,two,one,842.033,,,10
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3144,Submitted,Wed Aug 30 15:00:09 PDT 2023,Wed Aug 30 15:14:21 PDT 2023,Thu Aug 31 15:14:21 PDT 2023,,,,852,100% (168/168),0% (0/0),0% (0/0),{},elephant,B,one,one,A,one,one,A,one,two,B,one,three,410.125,,,12
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3145,Submitted,Wed Aug 30 16:00:30 PDT 2023,Wed Aug 30 16:24:28 PDT 2023,Thu Aug 31 16:24:28 PDT 2023,,,,1438,100% (24907/24907),0% (0/0),0% (0/0),{},elephant,A,one,two,A,one,one,A,one,two,B,one,three,351.986,,,12
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3146,Submitted,Wed Aug 30 16:00:19 PDT 2023,Wed Aug 30 16:40:37 PDT 2023,Thu Aug 31 16:40:37 PDT 2023,,,,2418,100% (17954/17954),100% (1308/1308),100% (272/272),{},elephant,B,one,two,A,one,one,A,one,two,B,one,three,917.721,,,13
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3147,Submitted,Wed Aug 30 15:00:20 PDT 2023,Wed Aug 30 15:32:15 PDT 2023,Thu Aug 31 15:32:15 PDT 2023,,,,1915,100% (4707/4707),100% (1/1),0% (0/0),{},y,B,two,one,B,one,one,A,two,two,B,one,one,905.032,,,7
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3148,Submitted,Wed Aug 30 16:00:19 PDT 2023,Wed Aug 30 16:44:20 PDT 2023,Thu Aug 31 16:44:20 PDT 2023,,,,2641,100% (1/1),0% (0/0),0% (0/0),GOOD SURVEY,k,B,one,two,B,one,three,A,one,two,B,one,three,1619.223,,,10
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3149,Submitted,Wed Aug 30 15:00:09 PDT 2023,Wed Aug 30 15:59:51 PDT 2023,Thu Aug 31 15:59:51 PDT 2023,,,,3582,100% (38/38),100% (3/3),0% (0/0),"I do not quite understand the difference in volume vs area. For 3D-5 and Stacked-5... Stacked-5 would be one taking up the most area, as it has a total value of 25 as opposed to Two that has a total value of 15. For 3D-5, would the answer not still be one? The data is the same, and visually, it looks like it takes up the most space. The hint for these last two questions are making me question that.For 3D-6 and Stacked-6... Stacked-6 would be three, as it has a value of 10000, as opposed to One who has 3000 and Two has 3. So, again, it's the same choice - three has the most volume, right? Am I misunderstanding that? I feel like I am, judging by the hint.",elephant,B,one,two,A,one,three,A,one,two,B,one,three,2252.562,,,12
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Wed Aug 30 14:59:42 PDT 2023,100,3600,86400,Wed Sep 06 14:59:42 PDT 2023,,,3150,Submitted,Wed Aug 30 15:00:09 PDT 2023,Wed Aug 30 15:16:13 PDT 2023,Thu Aug 31 15:16:13 PDT 2023,,,,964,100% (27/27),100% (2/2),0% (0/0),this was actually kinda fun and interesting,elephant,B,one,two,A,one,one,A,one,two,B,one,three,521.364,,,13
