Title,Description,Keywords,Reward,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.feedback,Answer.q_question-3D-0,Answer.q_question-3D-1,Answer.q_question-3D-2,Answer.q_question-3D-3,Answer.q_question-3D-4,Answer.q_question-3D-5,Answer.q_question-3D-6,Answer.q_question-stacked-1,Answer.q_question-stacked-2,Answer.q_question-stacked-3,Answer.q_question-stacked-4,Answer.q_question-stacked-5,Answer.q_question-stacked-6,Answer.tm,Approve,Reject
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Tue Nov 14 14:31:16 PST 2023,300,3600,86400,Tue Nov 21 14:31:16 PST 2023,,,1,Approved,Tue Nov 14 15:12:04 PST 2023,Tue Nov 14 15:23:21 PST 2023,Wed Nov 15 15:23:21 PST 2023,Wed Nov 15 15:24:09 PST 2023,,,677,100% (8/8),100% (1/1),100% (1/1),{},x,none,two,two,A,one,one,A,one,two,B,two,three,420.53,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Tue Nov 14 14:31:16 PST 2023,300,3600,86400,Tue Nov 21 14:31:16 PST 2023,,,2,Approved,Tue Nov 14 19:31:02 PST 2023,Tue Nov 14 20:05:59 PST 2023,Wed Nov 15 20:05:59 PST 2023,Wed Nov 15 20:06:09 PST 2023,,,2097,100% (1/1),100% (1/1),100% (1/1),good,diagonal,B,two,one,A,one,one,A,one,one,B,one,three,774.874,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Tue Nov 14 14:31:16 PST 2023,300,3600,86400,Tue Nov 21 14:31:16 PST 2023,,,3,Approved,Tue Nov 14 15:28:41 PST 2023,Tue Nov 14 15:33:21 PST 2023,Wed Nov 15 15:33:21 PST 2023,Wed Nov 15 15:34:09 PST 2023,,,280,100% (2/2),100% (1/1),100% (1/1),{},elephant,B,three,one,A,three,three,A,three,two,B,two,three,205.169,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Tue Nov 14 14:31:16 PST 2023,300,3600,86400,Tue Nov 21 14:31:16 PST 2023,,,4,Approved,Tue Nov 14 20:07:54 PST 2023,Tue Nov 14 20:52:26 PST 2023,Wed Nov 15 20:52:26 PST 2023,Wed Nov 15 20:53:09 PST 2023,,,2672,100% (3915/3915),100% (2443/2443),100% (2233/2233),I had a great time.,elephant,B,two,two,A,two,one,A,one,two,B,one,three,2082.281,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Tue Nov 14 14:31:16 PST 2023,300,3600,86400,Tue Nov 21 14:31:16 PST 2023,,,5,Approved,Tue Nov 14 17:34:58 PST 2023,Tue Nov 14 18:24:57 PST 2023,Wed Nov 15 18:24:57 PST 2023,Wed Nov 15 18:25:09 PST 2023,,,2999,100% (1/1),100% (1/1),100% (1/1),good,z,B,two,two,A,one,one,A,one,one,B,one,three,140.914,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Tue Nov 14 14:31:16 PST 2023,300,3600,86400,Tue Nov 21 14:31:16 PST 2023,,,6,Approved,Tue Nov 14 15:35:32 PST 2023,Tue Nov 14 16:04:00 PST 2023,Wed Nov 15 16:04:00 PST 2023,Wed Nov 15 16:04:09 PST 2023,,,1708,100% (1/1),100% (1/1),100% (1/1),{},elephant,B,one,one,B,one,three,A,one,two,B,one,three,1541.628,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Tue Nov 14 14:31:16 PST 2023,300,3600,86400,Tue Nov 21 14:31:16 PST 2023,,,7,Approved,Tue Nov 14 18:44:54 PST 2023,Tue Nov 14 19:09:39 PST 2023,Wed Nov 15 19:09:39 PST 2023,Wed Nov 15 19:10:09 PST 2023,,,1485,100% (1/1),100% (1/1),100% (1/1),{},Y,B,two,two,A,two,one,B,one,two,B,two,two,349.934,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Tue Nov 14 14:31:16 PST 2023,300,3600,86400,Tue Nov 21 14:31:16 PST 2023,,,8,Approved,Tue Nov 14 16:07:28 PST 2023,Tue Nov 14 16:41:50 PST 2023,Wed Nov 15 16:41:50 PST 2023,Wed Nov 15 16:42:09 PST 2023,,,2062,100% (3/3),100% (2/2),100% (2/2),{},tm,B,one,two,B,one,one,A,one,one,B,one,three,877.627,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Tue Nov 14 14:31:16 PST 2023,300,3600,86400,Tue Nov 21 14:31:16 PST 2023,,,9,Approved,Tue Nov 14 19:23:55 PST 2023,Tue Nov 14 20:21:25 PST 2023,Wed Nov 15 20:21:25 PST 2023,Wed Nov 15 20:22:09 PST 2023,,,3450,100% (1/1),100% (1/1),100% (1/1),very interest in this work,X,B,two,one,A,one,three,A,one,one,B,one,three,379.706,,
Qualify for a HIT about how to compromise,Answer questions correctly to qualify for a single HIT about when groups should compromise.,"compromise, bargain, graphs, charts",$3.00,Tue Nov 14 14:31:16 PST 2023,300,3600,86400,Tue Nov 21 14:31:16 PST 2023,,,10,Approved,Tue Nov 14 14:35:12 PST 2023,Tue Nov 14 14:55:03 PST 2023,Wed Nov 15 14:55:03 PST 2023,Wed Nov 15 14:55:09 PST 2023,,,1191,100% (6/6),100% (1/1),100% (1/1),GOOD,X,B,one,three,C,one,two,A,one,two,B,two,three,65.223,,
